"STATION","NAME","DATE","DAPR","MDPR","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN"
"USC00280907","BOONTON 1 SE, NJ US","2018-06-14",,,"0.09",,"0.0","0.0",,"76","62","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-15",,,"0.00",,"0.0","0.0",,"83","59","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-16",,,"0.00",,"0.0","0.0",,"77","55","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-17",,,"0.00",,"0.0","0.0",,"83","56","59",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-18",,,"0.00",,"0.0","0.0",,"90","59","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-19",,,"0.21",,"0.0","0.0",,"90","66","76",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-20",,,"0.00",,"0.0","0.0",,"86","61","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-21",,,"0.17",,"0.0","0.0",,"86","63","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-22",,,"0.00",,"0.0","0.0",,"85","65","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-23",,,"0.03",,"0.0","0.0",,"75","60","61",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-24",,,"0.03",,"0.0","0.0",,"68","61","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-25",,,"0.20",,"0.0","0.0",,"84","66","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-26",,,"0.00",,"0.0","0.0",,"80","57","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-27",,,"0.00",,"0.0","0.0",,"79","58","60",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-28",,,"0.63",,"0.0","0.0",,"73","60","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-29",,,"0.06",,"0.0","0.0",,"86","65","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-06-30",,,"0.00",,"0.0","0.0",,"90","67","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-01",,,"0.00",,"0.0","0.0",,"92","68","78",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-02",,,"0.00",,"0.0","0.0",,"95","68","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-03",,,"0.00",,"0.0","0.0",,"97","70","74",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-04",,,"0.11",,"0.0","0.0",,"95","73","77",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-05",,,"0.10",,"0.0","0.0",,"90","72","75",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-06",,,"0.00",,"0.0","0.0",,"91","75","77",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-07",,,"0.01",,"0.0","0.0",,"83","56","59",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-08",,,"0.00",,"0.0","0.0",,"79","53","56",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-09",,,"0.00",,"0.0","0.0",,"85","56","59",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-10",,,"0.00",,"0.0","0.0",,"88","59","63",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-11",,,"0.00",,"0.0","0.0",,"92","63","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-12",,,"0.00",,"0.0","0.0",,"86","66","68",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-13",,,"0.00",,"0.0","0.0",,"85","60","60",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-14",,,"0.00",,"0.0","0.0",,"88","60","72",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-15",,,"0.72",,"0.0","0.0",,"89","69","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-16",,,"0.03",,"0.0","0.0",,"87","68","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-17",,,"0.00",,"0.0","0.0",,"91","70","74",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-18",,,"1.28",,"0.0","0.0",,"88","61","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-19",,,"0.00",,"0.0","0.0",,"84","56","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-20",,,"0.00",,"0.0","0.0",,"83","57","60",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-21",,,"0.00",,"0.0","0.0",,"86","60","62",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-22",,,"1.75",,"0.0","0.0",,"80","62","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-23",,,"0.26",,"0.0","0.0",,"83","70","74",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-24",,,"0.45",,"0.0","0.0",,"83","74","76",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-25",,,"1.51",,"0.0","0.0",,"86","72","72",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-26",,,"0.98",,"0.0","0.0",,"81","71","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-27",,,"0.00",,"0.0","0.0",,"88","67","68",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-28",,,"0.92",,"0.0","0.0",,"86","67","68",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-29",,,"0.00",,"0.0","0.0",,"85","66","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-30",,,"0.00",,"0.0","0.0",,"85","60","62",
"USC00280907","BOONTON 1 SE, NJ US","2018-07-31",,,"0.00",,"0.0","0.0",,"78","61","68",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-01",,,"0.01",,"0.0","0.0",,"83","68","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-02",,,"0.69",,"0.0","0.0",,"86","69","76",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-03",,,"1.36",,"0.0","0.0",,"86","71","73",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-04",,,"1.99",,"0.0","0.0",,"87","70","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-05",,,"0.30",,"0.0","0.0",,"87","67","76",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-06",,,"0.00",,"0.0","0.0",,"92","71","72",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-07",,,"0.00",,"0.0","0.0",,"93","72","74",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-08",,,"0.40",,"0.0","0.0",,"91","69","72",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-09",,,"0.39",,"0.0","0.0",,"91","70","72",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-10",,,"0.00",,"0.0","0.0",,"87","65","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-11",,,"0.01",,"0.0","0.0",,"87","65","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-12",,,"3.12",,"0.0","0.0",,"81","68","69",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-13",,,"0.09",,"0.0","0.0",,"83","69","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-14",,,"0.47",,"0.0","0.0",,"73","68","69",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-15",,,"0.29",,"0.0","0.0",,"80","69","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-16",,,"0.00",,"0.0","0.0",,"88","70","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-17",,,"0.00",,"0.0","0.0",,"89","70","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-18",,,"1.28",,"0.0","0.0",,"89","70","72",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-19",,,"0.51",,"0.0","0.0",,"86","67","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-20",,,"0.04",,"0.0","0.0",,"72","65","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-21",,,"0.00",,"0.0","0.0",,"74","63","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-22",,,"0.78",,"0.0","0.0",,"78","64","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-23",,,"0.02",,"0.0","0.0",,"84","64","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-24",,,"0.00",,"0.0","0.0",,"76","56","56",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-25",,,"0.00",,"0.0","0.0",,"83","56","63",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-26",,,"0.00",,"0.0","0.0",,"80","60","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-27",,,"0.00",,"0.0","0.0",,"83","63","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-28",,,"0.00",,"0.0","0.0",,"89","67","77",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-29",,,"0.00",,"0.0","0.0",,"93","73","79",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-30",,,"0.00",,"0.0","0.0",,"92","75","79",
"USC00280907","BOONTON 1 SE, NJ US","2018-08-31",,,"0.00",,"0.0","0.0",,"92","70","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-01",,,"1.28",,"0.0","0.0",,"72","65","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-02",,,"0.01",,"0.0","0.0",,"78","62","64",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-03",,,"0.00",,"0.0","0.0",,"83","64","75",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-04",,,"0.00",,"0.0","0.0",,"91","71","73",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-05",,,"0.00",,"0.0","0.0",,"91","69","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-06",,,"0.00",,"0.0","0.0",,"91","69","77",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-07",,,"0.62",,"0.0","0.0",,"94","71","73",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-08",,,"0.03",,"0.0","0.0",,"80","66","66",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-09",,,"0.11",,"0.0","0.0",,"67","53","53",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-10",,,"1.04",,"0.0","0.0",,"57","51","52",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-11",,,"0.54",,"0.0","0.0",,"61","52","60",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-12",,,"0.05",,"0.0","0.0",,"73","60","70",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-13",,,"0.17",,"0.0","0.0",,"76","69","69",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-14",,,"0.00",,"0.0","0.0",,"77","67","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-15",,,"0.00",,"0.0","0.0",,"73","63","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-16",,,"0.00",,"0.0","0.0",,"81","60","62",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-17",,,"0.00",,"0.0","0.0",,"86","62","62",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-18",,,"0.52",,"0.0","0.0",,"78","62","74",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-19",,,"0.13",,"0.0","0.0",,"79","64","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-20",,,"0.00",,"0.0","0.0",,"83","63","63",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-21",,,"0.00",,"0.0","0.0",,"70","63","65",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-22",,,"0.00",,"0.0","0.0",,"74","65","71",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-23",,,"0.00",,"0.0","0.0",,"71","55","57",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-24",,,"0.00",,"0.0","0.0",,"65","57","63",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-25",,,"0.17",,"0.0","0.0",,"67","52","63",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-26",,,"2.43",,"0.0","0.0",,"67","53","67",
"USC00280907","BOONTON 1 SE, NJ US","2018-09-27",,,"0.09",,"0.0","0.0",,"81","58","58",
