"","odl_od_timessquare","count"
"127",2.41237674307895,3229
"128",3.37095089168514,3222
"129",2.28595585959472,3220
"130",4.68457280748797,3200
"131",0.861025707546773,3198
"132",3.68269586156697,3178
"133",0.795440747157676,3172
"134",4.73735182669297,3165
"135",1.5811236366857,3151
"136",4.47681257234521,3131
"137",2.10771205654203,3112
"138",1.81900920484989,3101
"139",0.563997650940809,3095
"140",3.9780973876336,3081
"141",3.98870717610091,3072
"142",1.98786002739836,3062
"143",0.79836603816185,3049
"144",1.51516099061622,3034
"145",0.360760919206471,3028
"146",3.72565885541534,3012
"147",2.30302455147115,3000
"148",5.67340737504539,2993
"149",1.287238357274,2992
"150",0.817211142241422,2989
"151",2.51678157347043,2977
"152",8.12398207251781,2955
"153",1.72272974708215,2953
"154",5.04486964986474,2952
"155",3.95283796841523,2944
"156",1.04572525469893,2942
"157",1.54588050666782,2900
"158",4.29183433697668,2900
"159",1.06008139872929,2865
"160",3.08702448934835,2859
"161",0.793272765551398,2834
"162",4.2718608495329,2831
"163",5.19277575353609,2816
"164",5.58266142620545,2814
"165",1.25104789979565,2797
"166",5.82093934519057,2790
"167",2.01740551820298,2771
"168",3.87452696184797,2769
"169",1.40758631394517,2762
"170",4.68183190364204,2759
"171",6.1174674646384,2732
"172",3.69773019826654,2728
"173",1.11242029746394,2717
"174",0.88558552328517,2716
"175",1.4913716119253,2713
"176",3.0538796818471,2683
"177",3.46617830180185,2682
"178",3.1114475252996,2680
"179",0.885137808451128,2677
"180",5.26062190875226,2666
"181",0.290580329764426,2652
"182",0.658354353845619,2636
"183",4.80829134131331,2630
"184",2.56844336860726,2582
"185",1.43145882890483,2567
"186",0.518208155706094,2564
"187",7.92314326770962,2550
"188",2.54023904312868,2527
"189",4.27587197739476,2524
"190",5.27744845904394,2514
"191",4.0946350459343,2507
"192",2.49774253130933,2498
"193",4.87248525646266,2498
"194",2.71885191635881,2490
"195",5.11524533852904,2486
"196",6.16369877003235,2460
"197",5.30287499670956,2456
"198",2.18279920619962,2452
"199",2.98690320997279,2439
