"","station.name","total"
"527","Central Park West & W 102 St",1393
"528","Prospect Pl & 6 Ave",1390
"529","President St & Henry St",1381
"530","Carroll St & Columbia St",1379
"531","Dean St & Franklin Ave",1373
"532","3 Ave & E 71 St",1372
"533","W 107 St & Columbus Ave",1370
"534","Mt Morris Park W & W 120 St",1337
"535","Berkeley Pl & 6 Ave",1334
"536","Clinton St & 4 Place",1332
"537","Riverside Dr & W 91 St",1328
"538","Monroe St & Tompkins Ave",1322
"539","Clermont Ave & Park Ave",1322
"540","21 St & Queens Plaza North",1320
"541","Clinton Ave & Flushing Ave",1316
"542","6 Ave & 12 St",1315
"543","Pitt St & Stanton St",1315
"544","N 11 St & Kent Ave",1314
"545","Dean St & Hoyt St",1313
"546","6 St & 7 Ave",1309
"547","Underhill Ave & Pacific St",1303
"548","14 St & 5 Ave",1293
"549","Pierrepont St & Monroe Pl",1290
"550","28 St & 41 Ave",1278
"551","E 109 St & 3 Ave",1269
"552","Lexington Ave & E 111 St",1268
"553","Amsterdam Ave & W 119 St",1259
"554","E 81 St & Park Ave",1259
"555","Kosciuszko St & Tompkins Ave",1258
"556","Broadway & Whipple St",1255
"557","Degraw St & Hoyt St",1247
"558","Adam Clayton Powell Blvd & W 123 St",1245
"559","E 118 St & 1 Ave",1236
"560","Leonard St & Maujer St",1235
"561","Sterling Pl & Bedford Ave",1204
"562","Vernon Blvd & 47 Rd",1198
"563","4 Ave & 9 St",1195
"564","Broad St & Bridge St",1178
"565","E 106 St & Madison Ave",1175
"566","Van Brunt St & Van Dyke St",1175
"567","Columbia St & Kane St",1174
"568","3 St & Hoyt St",1162
"569","Amsterdam Ave & W 125 St",1152
"570","Cambridge Pl & Gates Ave",1151
"571","Lefferts Pl & Franklin Ave",1147
"572","Franklin Ave & St Marks Ave",1140
"573","Lewis Ave & Madison St",1127
"574","Lenox Ave & W 115 St",1122
"575","N 15 St & Wythe Ave",1120
"576","31 Ave & 34 St",1110
"577","Concord St & Bridge St",1107
"578","Adam Clayton Powell Blvd & W 126 St",1105
"579","East End Ave & E 86 St",1104
"580","Morningside Ave & W 123 St",1098
"581","E 115 St & Lexington Ave",1094
"582","Union Ave & Jackson St",1080
"583","5 St & 6 Ave",1074
"584","Monroe St & Classon Ave",1070
"585","43 St & Broadway",1058
"586","Division Av & Hooper St",1049
"587","W 120 St & Claremont Ave",1047
"588","Myrtle Ave & Marcy Ave",1046
"589","Adam Clayton Powell Blvd & W 118 St",1041
"590","E 102 St & Park Ave",1038
"591","Putnam Ave & Throop Ave",1032
"592","Columbia Heights & Cranberry St",1031
"593","2 Ave & E 99 St",1027
"594","E 118 St & Madison Ave",1022
"595","27 St & Hunter St",1017
"596","Fulton St & Clermont Ave",1010
"597","Court St & Nelson St",1006
"598","Willoughby Ave & Walworth St",1006
"599","Boerum St & Broadway",999
"600","Willoughby Ave & Tompkins Ave",991
"601","Myrtle Ave & St Edwards St",987
"602","Broadway & W 122 St",978
"603","W 17 St & 9 Ave",975
"604","Humboldt St & Varet St",967
"605","10 St & 5 Ave",966
"606","Greene Ave & Nostrand Ave",962
"607","Halsey St & Tompkins Ave",961
"608","Lewis Ave & Kosciuszko St",934
"609","Kosciuszko St & Nostrand Ave",927
"610","Center Blvd & 48 Ave",926
"611","E 106 St & Lexington Ave",916
"612","7 St & 5 Ave",916
"613","Graham Ave & Herbert St",914
"614","Eckford St & Engert Ave",914
"615","6 Ave & Spring St",914
"616","DeKalb Ave & Skillman St",909
"617","Crescent St & Broadway",908
"618","E 118 St & 3 Ave",905
"619","India St & West St",903
"620","2 Ave & 36 St - Citi Bike HQ at Industry City",897
"621","Tompkins Ave & Hopkins St",892
"622","Verona Pl & Fulton St",891
"623","Columbus Ave & W 103 St",889
"624","24 St & 41 Ave",886
"625","Park Pl & Franklin Ave",883
