"","station.name","total"
"227","Grand Army Plaza & Plaza St West",6791
"228","E 47 St & 2 Ave",6783
"229","W 59 St & 10 Ave",6781
"230","Broadway & W 51 St",6711
"231","Hudson St & Reade St",6697
"232","Washington Pl & 6 Ave",6679
"233","Columbus Ave & W 95 St",6548
"234","Rivington St & Ridge St",6520
"235","Fulton St & Adams St",6495
"236","Amsterdam Ave & W 79 St",6495
"237","E 84 St & 3 Ave",6494
"238","E 6 St & Avenue D",6487
"239","E 72 St & York Ave",6478
"240","W 64 St & Thelonious Monk Circle",6469
"241","Driggs Ave & N 9 St",6456
"242","Amsterdam Ave & W 82 St",6413
"243","Berry St & N 8 St",6360
"244","W 56 St & 10 Ave",6248
"245","W 95 St & Broadway",6238
"246","Broadway & Berry St",6220
"247","Queens Plaza North & Crescent St",6195
"248","Pike St & E Broadway",6131
"249","W 35 St & Dyer Ave",6117
"250","Bedford Ave & Nassau Ave",6085
"251","Court St & State St",6030
"252","Clark St & Henry St",5980
"253","Franklin St & W Broadway",5978
"254","W 82 St & Central Park West",5938
"255","Old Slip & Front St",5926
"256","Avenue C & E 18 St",5826
"257","Central Park West & W 100 St",5794
"258","W 50 St & 9 Ave",5790
"259","E 51 St & Lexington Ave",5671
"260","Cadman Plaza E & Red Cross Pl",5624
"261","E 74 St & 1 Ave",5624
"262","E 5 St & Avenue C",5613
"263","Madison Ave & E 82 St",5611
"264","Lexington Ave & E 36 St",5607
"265","Vernon Blvd & 50 Ave",5558
"266","2 Ave & E 96 St",5538
"267","Schermerhorn St & Bond St",5537
"268","Clinton Ave & Myrtle Ave",5525
"269","5 Ave & E 103 St",5517
"270","Fulton St & William St",5497
"271","E 48 St & 3 Ave",5489
"272","W 84 St & Columbus Ave",5485
"273","2 Ave & E 72 St",5470
"274","Lawrence St & Willoughby St",5467
"275","Dean St & 4 Ave",5451
"276","DeKalb Ave & Hudson Ave",5404
"277","Leonard St & Church St",5395
"278","Cherry St",5387
"279","N 12 St & Bedford Ave",5376
"280","Graham Ave & Conselyea St",5347
"281","W 43 St & 6 Ave",5337
"282","Kent Ave & S 11 St",5314
"283","Meserole Ave & Manhattan Ave",5314
"284","Greenpoint Ave & Manhattan Ave",5302
"285","Soissons Landing",5264
"286","Willoughby St & Fleet St",5259
"287","E 51 St & 1 Ave",5237
"288","Union Ave & N 12 St",5215
"289","3 St & Prospect Park West",5213
"290","Pike St & Monroe St",5195
"291","Grand St & Havemeyer St",5181
"292","West Thames St",5159
"293","Avenue D & E 3 St",5152
"294","Hicks St & Montague St",5144
"295","W 84 St & Broadway",5140
"296","Spruce St & Nassau St",5140
"297","W 15 St & 6 Ave",5130
"298","Pearl St & Hanover Square",5124
"299","Nassau Ave & Russell St",5106
"300","Jay St & Tech Pl",5092
"301","E 84 St & 1 Ave",5087
"302","Park Ave & E 124 St",5081
"303","Maiden Ln & Pearl St",5063
"304","W 76 St & Columbus Ave",5032
"305","Catherine St & Monroe St",5031
"306","Reade St & Broadway",5022
"307","E 58 St &  1 Ave (NW Corner)",5008
"308","W 100 St & Broadway",4996
"309","Lexington Ave & E 63 St",4961
"310","W 89 St & Columbus Ave",4958
"311","Riverside Dr & W 78 St",4953
"312","Clinton St & Joralemon St",4887
"313","Riverside Dr & W 82 St",4867
"314","Broadway & Roebling St",4863
"315","Centre St & Worth St",4837
"316","E 91 St & 2 Ave",4785
"317","7 Ave & Park Pl",4754
"318","McGuinness Blvd & Eagle St",4684
"319","St James Pl & Oliver St",4655
"320","Yankee Ferry Terminal",4604
"321","William St & Pine St",4600
"322","Huron St & Franklin St",4593
"323","E 88 St & 1 Ave",4573
"324","Berkeley Pl & 7 Ave",4563
"325","Park Pl & Church St",4544
"326","Plaza St West & Flatbush Ave",4541
"327","Madison St & Clinton St",4541
"328","W 106 St & Central Park West",4540
"329","E 43 St & 2 Ave",4491
"330","Henry St & Atlantic Ave",4487
"331","Avenue D & E 8 St",4478
"332","Water - Whitehall Plaza",4468
"333","W 78 St & Broadway",4426
"334","E 102 St & 1 Ave",4419
"335","Duane St & Greenwich St",4408
"336","Metropolitan Ave & Meeker Ave",4380
"337","5 Ave & E 63 St",4380
"338","Frederick Douglass Blvd & W 117 St",4380
"339","Lafayette Ave & Fort Greene Pl",4377
"340","Columbia St & Rivington St",4373
"341","Frederick Douglass Blvd & W 112 St",4366
"342","5 Ave & E 93 St",4339
"343","Broadway & Moylan Pl",4290
"344","Carroll St & Smith St",4279
"345","E 47 St & 1 Ave",4272
"346","Cadman Plaza West & Montague St",4260
"347","E 72 St & Park Ave",4258
"348","John St & William St",4235
"349","Roebling St & N 4 St",4213
"350","Hope St & Union Ave",4209
"351","Pearl St & Anchorage Pl",4202
"352","Atlantic Ave & Fort Greene Pl",4191
"353","DeKalb Ave & S Portland Ave",4173
"354","Riverside Dr & W 104 St",4166
"355","Market St & Cherry St",4161
"356","E 89 St & 3 Ave",4161
"357","3 Ave & Schermerhorn St",4161
"358","46 Ave & 5 St",4148
"359","Duffield St & Willoughby St",4131
"360","Madison St & Montgomery St",4122
"361","E 81 St & York Ave",4109
"362","DeKalb Ave & Vanderbilt Ave",4098
"363","E 81 St & 2 Ave",4043
"364","Eastern Pkwy & Franklin Ave",4017
"365","Prospect Park West & 8 St",3967
"366","Bergen St & Vanderbilt Ave",3966
"367","Pleasant Ave & E 116 St",3944
"368","Broadway & W 56 St",3943
"369","Harrison St & Hudson St",3933
"370","Park Pl & Vanderbilt Ave",3920
"371","5 Ave & 3 St",3913
"372","Cliff St & Fulton St",3896
"373","Adelphi St & Myrtle Ave",3866
"374","Schermerhorn St & Court St",3857
"375","State St & Smith St",3854
"376","31 St & 23 Ave",3837
"377","3 Ave & E 62 St",3820
"378","W 74 St & Columbus Ave",3817
"379","Riverside Dr & W 91 St",3799
"380","Lafayette Ave & Classon Ave",3791
"381","E 33 St & 5 Ave",3769
"382","Congress St & Clinton St",3743
"383","West End Ave & W 94 St",3740
"384","Avenue D & E 12 St",3734
"385","Devoe St & Lorimer St",3717
"386","Cathedral Pkwy & Broadway",3716
"387","E 110 St & Madison Ave",3688
"388","31 St & Newtown Ave",3687
"389","Leonard St & Nassau Ave",3674
"390","W 87 St & Amsterdam Ave",3651
"391","Cumberland St & Lafayette Ave",3639
"392","Stagg St & Union Ave",3634
"393","Stanton St & Mangin St",3634
"394","Lafayette Ave & St James Pl",3608
"395","St Nicholas Ave & Manhattan Ave",3595
"396","Driggs Ave & N Henry St",3591
"397","Graham Ave & Grand St",3579
"398","Amsterdam Ave & W 66 St",3572
"399","E 97 St & Madison Ave",3567
"400","Picnic Point",3564
"401","Macon St & Nostrand Ave",3555
"402","Flushing Ave & Vanderbilt Ave",3553
"403","E 84 St & Park Ave",3541
"404","Scholes St & Manhattan Ave",3537
"405","44 Dr & Jackson Ave",3513
"406","Willoughby Ave & Hall St",3512
"407","Bialystoker Pl & Delancey St",3510
"408","Franklin Ave & Empire Blvd",3505
"409","Lenox Ave & W 126 St",3493
"410","Bergen St & Flatbush Ave",3477
"411","Fulton St & Waverly Ave",3469
"412","N 11 St & Kent Ave",3466
"413","E 65 St & 2 Ave",3463
"414","W 88 St & West End Ave",3439
"415","Broad St & Bridge St",3420
"416","3 St & 7 Ave",3407
"417","Nassau Ave & Newell St",3394
"418","Richardson St & N Henry St",3390
"419","E 89 St & York Ave",3373
"420","Douglass St & 3 Ave",3368
"421","Emerson Pl & Myrtle Ave",3364
"422","Front St & Gold St",3363
"423","Franklin St & Dupont St",3348
"424","W 92 St & Broadway",3331
"425","W 100 St & Manhattan Ave",3320
"426","E 75 St & 3 Ave",3307
"427","Washington Ave & Park Ave",3280
"428","31 St & Broadway",3272
"429","Johnson St & Gold St",3264
"430","E 76 St & Park Ave",3263
"431","Henry St & Degraw St",3260
"432","E 77 St & 3 Ave",3245
"433","Smith St & 9 St",3243
"434","1 Ave & E 94 St",3243
"435","Cliff St & Fulton St (Old)",3237
"436","Van Brunt St & Van Dyke St",3229
"437","Driggs Ave & Lorimer St",3228
"438","Henry St & Middagh St",3219
"439","Lenox Ave & W 117 St",3213
"440","Baltic St & 5 Ave",3192
"441","Washington Park",3178
"442","Carroll St & 6 Ave",3175
"443","6 Ave & 9 St",3164
"444","Lenox Ave & W 130 St",3129
"445","Carroll St & 5 Ave",3105
"446","Bedford Ave & Bergen St",3092
"447","Myrtle Ave & Lewis Ave",3086
"448","Union St & 4 Ave",3054
"449","3 St & 3 Ave",2987
"450","Kane St & Clinton St",2984
"451","Underhill Ave & Lincoln Pl",2977
"452","S Portland Ave & Hanson Pl",2974
"453","Banker St & Meserole Ave",2956
"454","Frederick Douglass Blvd & W 115 St",2954
"455","34 Ave & 38 St",2950
"456","Cadman Plaza E & Johnson St",2924
"457","Carlton Ave & Flushing Ave",2923
"458","S 4 St & Rodney St",2922
"459","E 78 St & 2 Ave",2913
"460","Fulton St & Grand Ave",2912
"461","1 Ave & E 110 St",2885
"462","Classon Ave & St Marks Ave",2883
"463","Carroll St & Bond St",2869
"464","Montrose Ave & Bushwick Ave",2847
"465","W 106 St & Amsterdam Ave",2846
"466","St James Pl & Pearl St",2817
"467","E 81 St & 3 Ave",2813
"468","Monroe St & Bedford Ave",2799
"469","Degraw St & Smith St",2796
"470","E 91 St & Park Ave",2794
"471","Carlton Ave & Dean St",2791
"472","E 82 St & East End Ave",2781
"473","45 Rd & 11 St",2762
"474","W 110 St & Amsterdam Ave",2735
"475","St. Nicholas Ave & W 126 St",2735
"476","E 58 St & 1 Ave (NE Corner)",2733
"477","Nassau St & Navy St",2727
"478","Bond St & Bergen St",2713
"479","14 St & 7 Ave",2703
"480","India St & West St",2702
"481","Clinton St & Union St",2688
"482","Warren St & Court St",2687
"483","14 St & 5 Ave",2682
"484","Fulton St & Rockwell Pl",2672
"485","West End Ave & W 107 St",2667
"486","E 85 St & York Ave",2667
